EPIC,TIC,Sector,RA,Dec,Planet,Period (days)
211418729,366576758,7,127.882965,11.922265,K2-114 b,11.391013
211442297,7020254,7,126.553444,12.281936,K2-115 b,20.272615
205904628,69747919,2,-18.01117,8.22,K2-167 b,9.977481
211355342,366528389,7,127.554034,10.910294,K2-181 b,6.894256
205916793,12822545,2,338.054185,-17.543994,K2-54 b,9.7843
206026136,146799150,2,342.691712,-14.069886,K2-57 b,9.0063
210363145,435339847,5,55.228426,12.572612,K2-77 b,8.199796
210403955,242961495,5,59.037487,13.559289,K2-80 b,19.0918
210403955,242961495,5,59.037487,13.559289,K2-80 c,5.605
210403955,242961495,5,59.037487,13.559289,K2-80 d,28.867253
211311380,366443426,7,126.616038,10.080375,K2-93 b,15.5712
211311380,366443426,7,126.616038,10.080375,K2-93 c,31.6978
211311380,366443426,7,126.616038,10.080375,K2-93 d,156
211311380,366443426,7,126.616038,10.080375,K2-93 e,131
211311380,366443426,7,126.616038,10.080375,K2-93 f,324
211351816,366568760,7,127.762836,10.847586,K2-97 b,8.406726
211391664,366410512,7,126.488289,11.511145,K2-98 b,10.136448