sector,start,end,start_jd,end_jd,start_btjd,end_btjd
1,2018-07-25,2018-08-22,2458324.5,2458352.5,,
2,2018-08-22,2018-09-20,2458352.5,2458381.5,,
3,2018-09-20,2018-10-18,2458381.5,2458409,,
4,2018-10-18,2018-11-15,2458409,,,
5,2018-11-15,2018-12-11,0,,,
6,2018-12-11,2019-01-07,0,,,
7,2019-01-07,2019-02-02,0,,,
8,2019-02-02,2019-02-28,0,,,
9,2019-02-28,2019-03-26,0,,,
10,2019-03-26,2019-04-22,0,,,
11,2019-04-22,2019-05-21,0,,,
12,2019-05-21,2019-06-19,0,,,
13,2019-06-19,2019-07-18,0,,,